topology,nb_roots,nb_proc,size,rank,communication_time,computation_time
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7020,0.54731777,0.28601973
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7019,0.54752455,0.28577246
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7056,0.54731967,0.2859886
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5595,0.54616873,0.28713398
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4526,0.54739761,0.28591505
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4952,0.54669119,0.2866566
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4859,0.54713784,0.28621215
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4053,0.54782931,0.28553924
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4025,0.54627794,0.28703051
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3241,0.54468331,0.28857838
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4627,0.54640224,0.28689718
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8069,0.54551,0.28780739
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2121,0.54690859,0.28641497
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8343,0.54723128,0.28611243
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5275,0.54577316,0.28754711
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6599,0.54550956,0.28779335
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3839,0.54456893,0.2887712
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7754,0.54525261,0.28804947
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5688,0.54955126,0.28359863
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5458,0.54672396,0.28660657
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6875,0.547471,0.2858719
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6598,0.54419675,0.28910423
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6782,0.54758539,0.28573805
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3746,0.54709182,0.28621038
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6755,0.54796822,0.28535544
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3691,0.54795281,0.28541763
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8529,0.5459469,0.28739488
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5071,0.54598578,0.28733126
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1846,0.54670881,0.28663189
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8250,0.54510285,0.28824881
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5368,0.54753735,0.28583909
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6601,0.54469366,0.28865669
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4536,0.54728366,0.28612012
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4809,0.54750538,0.28586172
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7234,0.54558865,0.28777551
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2383,0.54532253,0.28804233
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7143,0.54696342,0.28643659
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7141,0.54646678,0.28691254
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6467,0.54619583,0.28719363
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3516,0.54547937,0.28786269
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7140,0.54785826,0.28553421
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4707,0.54812351,0.28533336
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7236,0.54745008,0.28596143
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5070,0.54498307,0.28839065
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4706,0.54591653,0.28751479
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6848,0.547051,0.28637117
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8068,0.54699365,0.28639968
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2747,0.54648838,0.28692549
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8077,0.54564377,0.28777331
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7058,0.54750753,0.28592375
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2590,0.54850806,0.28495368
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2471,0.54822742,0.28520534
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7843,0.54768186,0.28577505
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3059,0.54615621,0.28726676
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1736,0.54562474,0.28779701
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2119,0.5479878,0.28549437
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5413,0.5459877,0.28745461
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2569,0.5462432,0.28721721
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4709,0.54850084,0.28497433
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2470,0.54711777,0.28631482
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2118,0.54635311,0.28710885
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4982,0.54662251,0.28682844
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7325,0.54589407,0.28755983
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3513,0.54637869,0.28706609
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2230,0.54581882,0.28762348
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4490,0.54648127,0.28694903
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4718,0.54652728,0.28693122
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4888,0.54787172,0.28557745
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2654,0.5467766,0.28669461
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3152,0.54506356,0.28836073
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5174,0.54763727,0.28582395
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3962,0.54712008,0.28636587
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4583,0.5461739,0.28730314
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3514,0.54442139,0.2889944
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3841,0.5476134,0.28586988
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4889,0.54735206,0.28614354
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4981,0.54678459,0.28668771
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4893,0.54766007,0.28583448
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5459,0.54804441,0.28545145
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3749,0.54666673,0.28680707
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5142,0.5452953,0.28808499
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3842,0.54706209,0.2864096
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4986,0.54687852,0.28657339
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7111,0.54699136,0.28650368
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4028,0.54769,0.28582947
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3748,0.54753845,0.28595234
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2385,0.54775952,0.28574407
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4027,0.54619579,0.28730634
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4585,0.54590982,0.28755592
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4537,0.54610665,0.28741423
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4586,0.5470017,0.28652406
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6774,0.54801112,0.28546513
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6867,0.54738945,0.28612122
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7386,0.54692603,0.28660861
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7233,0.5457871,0.28770532
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8435,0.54710624,0.28645091
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3054,0.54631085,0.28721442
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2314,0.54679735,0.28675203
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5351,0.54833585,0.2852365
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4492,0.54628755,0.28725998
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4493,0.54493138,0.28858939
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3692,0.54600182,0.28756346
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2581,0.54715674,0.28639128
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1755,0.5472985,0.28622148
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2395,0.54706256,0.2864948
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5258,0.54807665,0.28550335
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3333,0.54648856,0.28705987
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1757,0.54695076,0.28663017
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5537,0.54695536,0.2865958
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6383,0.54496618,0.28855229
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7477,0.54560492,0.28792539
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7903,0.54789972,0.28564747
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7900,0.54672443,0.28680695
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2571,0.54789746,0.28569564
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2386,0.54762865,0.285926
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4892,0.54778238,0.28578495
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4895,0.54583831,0.28771643
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3147,0.54628724,0.2872629
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7108,0.54519631,0.28830593
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2856,0.54795036,0.28565067
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4811,0.54787411,0.28570156
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7109,0.5461863,0.28737987
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3960,0.54681989,0.28667798
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4985,0.54658694,0.28701655
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6937,0.54502813,0.2885124
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2572,0.54624175,0.28736108
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7569,0.54831321,0.28528
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6964,0.54752051,0.28606291
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6469,0.54608923,0.2874686
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8434,0.54643125,0.28715351
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6470,0.54619933,0.28739195
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2486,0.5467919,0.28679487
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7901,0.54819112,0.28538211
